"ref_area.label","indicator.label","source.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): F. Construction","Currency: Local currency","2021",3890.92,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): F. Construction","Currency: 2017 PPP $","2021",4987.1,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): F. Construction","Currency: U.S. dollars","2021",4601.95,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): G. Wholesale and retail trade; repair of motor vehicles and motorcycles","Currency: Local currency","2021",3397.28,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): G. Wholesale and retail trade; repair of motor vehicles and motorcycles","Currency: 2017 PPP $","2021",4354.38,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): G. Wholesale and retail trade; repair of motor vehicles and motorcycles","Currency: U.S. dollars","2021",4018.1,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): H. Transportation and storage","Currency: Local currency","2021",3989.9,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): H. Transportation and storage","Currency: 2017 PPP $","2021",5113.96,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): H. Transportation and storage","Currency: U.S. dollars","2021",4719.02,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): I. Accommodation and food service activities","Currency: Local currency","2021",2551.68,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Germany","Average monthly earnings of employees by sex and economic activity","HIES - EU Statistics on Income and Living Conditions","Sex: Total","Economic activity (ISIC-Rev.4): I. Accommodation and food service activities","Currency: 2017 PPP $","2021",3270.56,,,"Currency: DEU - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
